SNID,IAUC,FAKE,RA,DECL,PIXSIZE,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_OBJID,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SNSEP,PEAKMJD,SEARCH_TYPE
13794       ,UNKNOWN ,0,-12.376099,0.433387,0.40000000596,110,105,604076,604180,0.0410000011325,0.00680000009015,1.4603099823,0.000410000007832,1.45728898048,0.000410000007832,1237663277922320896,-9.0,-9.0,0.237000003457,54054.0,110
13795       ,UNKNOWN ,0,-11.928802,0.462284,0.40000000596,101,105,604182,604286,0.0410999991,0.00689999992028,-9.0,-9.0,-9.0,-9.0,1237663277922517248,-9.0,-9.0,0.0570000000298,53992.0,101
13796       ,2006hl  ,0,-9.308502,0.532802,0.40000000596,120,105,604288,604392,0.042199999094,0.00700000021607,0.148699000478,2.20000001718e-05,0.14729000628,2.20000001718e-05,1237663277923696896,0.0671000033617,-9.0,2.50699996948,54010.34375,120
13797       ,UNKNOWN ,0,-8.678589,0.574632,0.40000000596,0,104,604394,604497,0.034200001508,0.00570000009611,0.279323995113,3.40000005963e-05,0.277754992247,3.40000005963e-05,1237663277923959296,0.363000005484,-9.0,1.03699994087,53985.0,0
13799       ,UNKNOWN ,0,-8.036865,0.577771,0.40000000596,101,104,604499,604602,0.0364999994636,0.00609999988228,-9.0,-9.0,-9.0,-9.0,1237663277924221696,0.391799986362,-9.0,0.324000000954,54022.0,101
13800       ,UNKNOWN ,0,-6.206055,0.531424,0.40000000596,110,111,604604,604714,0.0335000008345,0.00559999980032,0.216670006514,2.5999999707e-05,0.215183004737,2.5999999707e-05,1237663277925073152,0.20909999311,-9.0,0.136000007391,53980.0,110
13801       ,UNKNOWN ,0,-5.01532,0.62024,0.40000000596,5,118,604716,604833,0.0355999991298,0.00590000022203,-9.0,-9.0,-9.0,-9.0,1237663277925532416,0.697600007057,-9.0,0.138999998569,54011.0,5
13802       ,UNKNOWN ,0,-4.988281,0.61227,0.40000000596,110,118,604835,604952,0.0344999991357,0.00570000009611,0.313562989235,2.99999992421e-05,0.311960995197,2.99999992421e-05,1237663277925597440,0.286300003529,-9.0,0.224000006914,53988.0,110
13803       ,UNKNOWN ,0,-2.649719,0.435183,0.40000000596,101,109,604954,605062,0.0307999998331,0.00510000018403,-9.0,-9.0,-9.0,-9.0,1237663277926580736,0.272599995136,-9.0,0.142000004649,53993.0,101
13804       ,UNKNOWN ,0,4.145152,0.601538,0.40000000596,5,109,605064,605172,0.0232999995351,0.0038999998942,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54015.0,5
13805       ,UNKNOWN ,0,4.269836,0.491774,0.40000000596,5,110,605174,605283,0.0241000000387,0.00400000018999,-9.0,-9.0,-9.0,-9.0,1237663277929660672,0.32800000906,-9.0,0.0769999995828,53994.0,5
13806       ,UNKNOWN ,0,6.594811,0.610995,0.40000000596,103,110,605285,605394,0.0249000005424,0.00419999985024,-9.0,-9.0,-9.0,-9.0,1237663716017242624,0.314700007439,-9.0,0.25,54005.0,103
13807       ,UNKNOWN ,0,10.599804,0.448288,0.40000000596,106,115,605396,605510,0.0174000002444,0.00289999996312,0.513850986958,0.000119999996969,0.51213401556,0.000119999996969,1237663716018946816,0.523199975491,-9.0,0.175999999046,53999.0,106
13808       ,UNKNOWN ,0,10.650805,0.51571,0.40000000596,110,114,605512,605625,0.017100000754,0.00289999996312,0.268348991871,5.90000017837e-05,0.266911000013,5.90000017837e-05,1237663716019011840,0.323700010777,-9.0,0.12800000608,54012.0,110
13809       ,UNKNOWN ,0,11.333704,0.556369,0.40000000596,110,112,605627,605738,0.0201999992132,0.00340000004508,0.272336989641,2.90000007226e-05,0.270902007818,2.90000007226e-05,1237663716019273984,0.334399998188,-9.0,0.796000003815,54027.0,110
13810       ,UNKNOWN ,0,-49.443146,-0.261749,0.40000000596,110,128,605740,605867,0.068400003016,0.0114000001922,0.38898101449,0.00011899999663,0.387629002333,0.00011899999663,1237656568111235072,0.243399992585,-9.0,0.101999998093,54000.0,110
13811       ,UNKNOWN ,0,-43.5242,-0.270302,0.40000000596,101,119,605869,605987,0.0873999968171,0.0146000003442,-9.0,-9.0,-9.0,-9.0,1237663457239302400,0.568099975586,-9.0,0.159999996424,54016.0,101
13812       ,UNKNOWN ,0,-41.788818,-0.362706,0.40000000596,5,120,605989,606108,0.0737000033259,0.0122999995947,-9.0,-9.0,-9.0,-9.0,1237663457240025088,0.632700026035,-9.0,0.247999995947,54012.0,5
13813       ,UNKNOWN ,0,-41.679108,-0.404855,0.40000000596,106,120,606110,606229,0.0649000033736,0.0108000002801,0.236460000277,0.000296000012895,0.235143005848,0.000296000012895,1237663457240089088,0.216999992728,-9.0,0.239999994636,53996.0,106
13815       ,UNKNOWN ,0,-41.223053,-0.341591,0.40000000596,104,115,606231,606345,0.0688000023365,0.0115000000224,0.133715003729,2.99999992421e-05,0.132502004504,2.99999992421e-05,1237663457240286208,0.0445999987423,-9.0,1.43700003624,53985.0,104
13816       ,UNKNOWN ,0,-41.08844,-0.259462,0.40000000596,0,115,606347,606461,0.064099997282,0.01070000045,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54003.0,0
13817       ,UNKNOWN ,0,-37.15686,-0.270713,0.40000000596,0,114,606463,606576,0.0450999997556,0.00749999983236,-9.0,-9.0,-9.0,-9.0,1237663457242055936,0.46930000186,-9.0,0.319999992847,53994.0,0
13818       ,UNKNOWN ,0,-35.869934,-0.229746,0.40000000596,5,114,606578,606691,0.0570000000298,0.00949999969453,-9.0,-9.0,-9.0,-9.0,1237663457242645248,-9.0,-9.0,0.555999994278,54012.0,5
13820       ,UNKNOWN ,0,-34.36731,-0.320048,0.40000000596,106,113,606693,606805,0.056400001049,0.0093999998644,0.135720998049,5.99999984843e-05,0.13443300128,5.99999984843e-05,1237656568117789696,0.256500005722,-9.0,1.07799994946,54004.0,106
13822       ,UNKNOWN ,0,-31.482391,-0.391875,0.40000000596,5,113,606807,606919,0.129999995232,0.0217000003904,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54013.0,5
13824       ,UNKNOWN ,0,-29.423523,-0.40976,0.40000000596,5,117,606921,607037,0.0697999969125,0.0115999998525,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54010.0,5
13825       ,UNKNOWN ,0,-29.093292,-0.358694,0.40000000596,101,117,607039,607155,0.0630000010133,0.0104999998584,-9.0,-9.0,-9.0,-9.0,1237656568120148992,-9.0,-9.0,0.146999999881,54007.0,101
13826       ,UNKNOWN ,0,-24.774048,-0.255271,0.40000000596,5,114,607157,607270,0.0731000006199,0.0121999997646,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54013.0,5
13827       ,UNKNOWN ,0,-23.688263,-0.365463,0.40000000596,110,115,607272,607386,0.0822999998927,0.0137000000104,0.14274699986,2.90000007226e-05,0.141375005245,2.90000007226e-05,1237663478723248384,0.203999996185,-9.0,0.180999994278,54026.0,110
